column_name,description,data_type,example
run_id,処理ランID,INTEGER,1
frame_num,フレーム番号,INTEGER,300
video_time_s,動画内の時刻（秒）,REAL,10.0
class_name,検出クラス名,TEXT,bicycle
speed_km_h,速度（km/h）,REAL,18.5
track_id,トラッキングID,INTEGER,42
group_id,グループID（追い越しペア用）,INTEGER,7
overtake,追い越しフラグ（1=あり），INTEGER,1
clearance_distance_m,追い越し時離隔距離（m）,REAL,1.23
clearance_distance_cm,追い越し時離隔距離（cm）,REAL,123.0
line_distance_m,白線からの距離（m）,REAL,0.45
lane_position_flag,車線位置フラグ（+/-）,TEXT,+
travel_direction,進行方向（F/B）,TEXT,F
confidence,検出信頼度（0.0-1.0）,REAL,0.91
x1,バウンディングボックス左端X（px）,REAL,120.0
y1,バウンディングボックス上端Y（px）,REAL,200.0
x2,バウンディングボックス右端X（px）,REAL,280.0
y2,バウンディングボックス下端Y（px）,REAL,450.0
